Results for track_01.txt:
Iteration 77: Moves: 336, Runtime: 91.62ms
Iteration 78: Moves: 336, Runtime: 82.58ms
Iteration 79: Moves: 336, Runtime: 80.52ms
Iteration 80: Moves: 336, Runtime: 76.76ms
Iteration 81: Moves: 336, Runtime: 77.47ms
Iteration 82: Moves: 336, Runtime: 80.07ms
Iteration 83: Moves: 336, Runtime: 80.50ms
Iteration 84: Moves: 336, Runtime: 81.42ms
Iteration 85: Moves: 336, Runtime: 84.89ms
Iteration 86: Moves: 336, Runtime: 78.39ms
Iteration 87: Moves: 336, Runtime: 84.17ms
Iteration 88: Moves: 336, Runtime: 83.69ms
Iteration 89: Moves: 336, Runtime: 81.54ms
Iteration 90: Moves: 336, Runtime: 82.38ms
Iteration 91: Moves: 336, Runtime: 80.92ms
Iteration 92: Moves: 336, Runtime: 85.22ms
Iteration 93: Moves: 336, Runtime: 84.42ms
Iteration 94: Moves: 336, Runtime: 79.72ms
Iteration 95: Moves: 336, Runtime: 78.87ms
Iteration 96: Moves: 336, Runtime: 81.27ms
Iteration 97: Moves: 336, Runtime: 80.33ms
Iteration 98: Moves: 336, Runtime: 84.91ms
Iteration 99: Moves: 336, Runtime: 86.90ms
Iteration 100: Moves: 336, Runtime: 84.93ms
Best Moves: 336 moves
Average Moves: 336.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 76.76ms
Average Runtime: 83.83ms
Deviation Runtime: 3.04ms

Results for track_06.txt:
Iteration 1: Moves: 338, Runtime: 89.61ms
Iteration 2: Moves: 338, Runtime: 86.06ms
Iteration 3: Moves: 338, Runtime: 84.24ms
Iteration 4: Moves: 338, Runtime: 88.66ms
Iteration 5: Moves: 338, Runtime: 89.07ms
Iteration 6: Moves: 338, Runtime: 81.34ms
Iteration 7: Moves: 338, Runtime: 82.48ms
Iteration 8: Moves: 338, Runtime: 92.22ms
Iteration 9: Moves: 338, Runtime: 84.31ms
Iteration 10: Moves: 338, Runtime: 86.30ms
Iteration 11: Moves: 338, Runtime: 90.59ms
Iteration 12: Moves: 338, Runtime: 89.69ms
Iteration 13: Moves: 338, Runtime: 92.61ms
Iteration 14: Moves: 338, Runtime: 90.81ms
Iteration 15: Moves: 338, Runtime: 91.46ms
Iteration 16: Moves: 338, Runtime: 90.84ms
Iteration 17: Moves: 338, Runtime: 90.99ms
