Results for track_01.txt:
Iteration 28: Moves: 99, Runtime: 1327.51ms
Iteration 29: Moves: 99, Runtime: 1346.97ms
Iteration 30: Moves: 99, Runtime: 1343.89ms
Iteration 31: Moves: 99, Runtime: 1359.92ms
Iteration 32: Moves: 99, Runtime: 1327.94ms
Iteration 33: Moves: 99, Runtime: 1443.09ms
Iteration 34: Moves: 99, Runtime: 1342.10ms
Iteration 35: Moves: 99, Runtime: 1358.76ms
Iteration 36: Moves: 99, Runtime: 1323.64ms
Iteration 37: Moves: 99, Runtime: 1319.81ms
Iteration 38: Moves: 99, Runtime: 1364.74ms
Iteration 39: Moves: 99, Runtime: 1349.42ms
Iteration 40: Moves: 99, Runtime: 1317.28ms
Iteration 41: Moves: 99, Runtime: 1340.73ms
Iteration 42: Moves: 99, Runtime: 1378.48ms
Iteration 43: Moves: 99, Runtime: 1328.43ms
Iteration 44: Moves: 99, Runtime: 1318.84ms
Iteration 45: Moves: 99, Runtime: 1376.59ms
Iteration 46: Moves: 99, Runtime: 1352.65ms
Iteration 47: Moves: 99, Runtime: 1319.69ms
Iteration 48: Moves: 99, Runtime: 1332.37ms
Iteration 49: Moves: 99, Runtime: 1350.06ms
Iteration 50: Moves: 99, Runtime: 1469.29ms
Best Moves: 99 moves
Average Moves: 99.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 1317.28ms
Average Runtime: 1352.33ms
Deviation Runtime: 52.42ms

Results for track_07.txt:
Iteration 1: Moves: 35, Runtime: 2649.49ms
Iteration 2: Moves: 35, Runtime: 2835.90ms
Iteration 3: Moves: 35, Runtime: 2648.82ms
Iteration 4: Moves: 35, Runtime: 2621.70ms
Iteration 5: Moves: 35, Runtime: 2679.55ms
Iteration 6: Moves: 35, Runtime: 2652.25ms
Iteration 7: Moves: 35, Runtime: 2637.83ms
Iteration 8: Moves: 35, Runtime: 2678.87ms
Iteration 9: Moves: 35, Runtime: 2625.08ms
Iteration 10: Moves: 35, Runtime: 2668.04ms
Iteration 11: Moves: 35, Runtime: 2692.05ms
Iteration 12: Moves: 35, Runtime: 2650.67ms
Iteration 13: Moves: 35, Runtime: 2682.12ms
Iteration 14: Moves: 35, Runtime: 2632.55ms
Iteration 15: Moves: 35, Runtime: 2642.43ms
Iteration 16: Moves: 35, Runtime: 2682.16ms
Iteration 17: Moves: 35, Runtime: 2926.16ms
Iteration 18: Moves: 35, Runtime: 2640.86ms
Iteration 19: Moves: 35, Runtime: 2658.99ms
Iteration 20: Moves: 35, Runtime: 2660.38ms
Iteration 21: Moves: 35, Runtime: 2917.20ms
Iteration 22: Moves: 35, Runtime: 2631.92ms
Iteration 23: Moves: 35, Runtime: 2650.42ms
Iteration 24: Moves: 35, Runtime: 2647.31ms
Iteration 25: Moves: 35, Runtime: 2881.29ms
Iteration 26: Moves: 35, Runtime: 2613.24ms
Iteration 27: Moves: 35, Runtime: 2613.40ms
Iteration 28: Moves: 35, Runtime: 2631.86ms
Iteration 29: Moves: 35, Runtime: 2619.82ms
Iteration 30: Moves: 35, Runtime: 2725.80ms
